id,population,latitude,longitude,name
228,34370,50.4245,2.7738,Lievin
229,34367,44.2015624,0.6176324,Agen
230,34284,48.98810455,2.22391266824786,Franconville
231,33689,48.6424322,2.3283953,Sainte-Genevieve-des-Bois
232,33684,50.2785567,3.9743784,Maubeuge
233,33504,48.8688199,2.4173658,Bagnolet
234,33229,47.25417435,-0.0661853886972667,Saumur
235,33188,43.4815899,-1.556116,Biarritz
236,33113,43.1758591,5.6062495,La Ciotat
237,33088,45.1437,5.71927,Echirolles
238,32994,45.9864749,4.726611,Villefranche-sur-Saone
239,32715,48.7661105,2.2781646,Chatenay-Malabry
240,32601,48.9565669,2.3825154,Stains
241,32383,45.4949198,5.1215104,Chatillon
242,32293,46.61211655,0.465407009663971,Vienne
243,32289,48.6076873,7.7500608,Schiltigheim
244,32134,48.9958047,1.9090697,Les Mureaux
245,32015,48.840627,2.5077111,Le Perreux-sur-Marne
246,31989,48.7709414,2.0706084,Guyancourt
247,31987,48.7170283,2.2468567,Palaiseau
248,31918,48.6371125,4.9473513,Saint-Dizier
249,31863,49.2635045,2.4737043,Creil
250,31785,48.6599676,6.1724618,Vandoeuvre-les-Nancy
251,31684,46.3731303,6.4779448,Thonon-les-Bains
252,31568,49.8808904,1.1415922,Bethune
253,31363,43.6121001,1.3282149,Colomiers
254,31236,48.8353038,2.4810318,Nogent-sur-Marne
255,31225,48.7079028,2.3890941,Athis-Mons
256,31131,48.6695097,2.3732542,Viry-Chatillon
257,31121,48.9232331,2.1868111,Houilles
258,31100,49.3816667,3.3236111,Soissons
259,31058,48.7360474,1.3708971,Dreux
260,30910,48.820877,2.41556470761323,Charenton-le-Pont
261,30881,48.7301461,2.4462178,Villeneuve-Saint-Georges
262,30831,48.7681182,1.949352,Elancourt
263,30786,48.4312059,0.0911374,Alencon
264,30619,49.4151549,1.089746,Sotteville-les-Rouen
265,30530,44.1371311,4.8078783,Orange
266,30347,44.7737872,-0.5595029,Villenave-d'Ornon
267,30290,49.0508845,2.1008067,Pontoise
268,30252,48.8262055,2.5406696,Villiers-sur-Marne
269,30091,48.8987,2.15122,Chatou
270,30047,49.0323168,2.4733628,Goussainville
271,29892,50.64296765,2.99427127052773,Lomme
272,29876,47.2217489,2.0691421,Vierzon
273,29742,44.8958887,-0.7170764,Saint-Medard-en-Jalles
274,29724,48.764359,2.3910024,Thiais
275,29709,44.0554997,5.048752,Carpentras
276,29703,48.7776577,2.3369786,L'Hay-les-Roses
277,29649,43.7751405,7.4966252,Menton
278,29516,43.6690101,7.1906969,Saint-Laurent-du-Var
279,29512,45.7420801,-0.6299329,Saintes
280,29427,45.9442642,-0.9690432,Rochefort
281,29420,48.8174048,2.2971588,Malakoff
282,29316,48.6787,2.4212,Draveil
283,29278,-21.1677694,55.2881932,Saint-Leu
284,29238,47.2035029,-1.4992075,Saint-Sebastien-sur-Loire
285,29154,48.8278506,2.1319603,Le Chesnay
286,29124,43.5827846,1.3466543,Tournefeuille
287,29062,48.910939,2.5460722,Clichy-sous-Bois
288,28981,48.1118812,5.1394503,Chaumont
289,28953,49.3831,1.09163,Saint-Etienne-du-Rouvray
290,28929,45.7764637,5.0044767,Meyzieu
291,28897,48.716811,2.4879753,Yerres
292,28865,47.5102368,6.7977564,Montbeliard
293,28839,48.8426,2.2045308,Saint-Cloud
294,28700,48.1978559,3.282606,Sens
295,28688,49.564665,3.620686,Laon
296,28613,50.6477924,3.0223644,Lambersart
297,28367,48.7760957,1.9988356,Trappes
298,28337,44.3510012,2.5733006,Rodez
299,28317,44.8534568,0.487531,Bergerac
300,28275,46.1934005,6.2341093,Annemasse
301,28257,43.8301121,6.5572147,La Garde
302,28117,48.9891381,2.2587986,Ermont
303,28076,45.823514,4.8994366,Rillieux-la-Pape
304,28001,48.8847875,2.5105095,Villemomble
305,27914,48.9637686,2.3601156,Pierrefitte-sur-Seine
306,27867,48.8088625,2.3568268,Le Kremlin-Bicetre
307,27776,48.8516672,2.6009206,Champs-sur-Marne
308,27651,45.6886292,5.9146362,Aix-les-Bains
309,27570,48.9250016,2.2105491,Bezons
310,27286,43.5761001,7.05859,Vallauris
311,27271,49.0265888,2.2234971,Taverny
312,27261,48.5298611,7.7116218,Illkirch-Graffenstaden
313,27253,44.6316943,-1.1491319,La Teste-de-Buch
314,27082,45.4523623,5.8840111,Epernay
315,27028,49.0075433,2.3983967,Villiers-le-Bel
316,27019,46.1239268,3.4203712,Vichy
317,26869,48.9735001,2.25226,Sannois
318,26758,48.9863555,2.4500537,Gonesse
319,26692,48.7034214,2.4302405,Vigneux-sur-Seine
320,26689,43.8322775,5.0393165,Cavaillon
321,26674,48.6482463,1.8328853,Rambouillet
322,26655,49.6343606,-1.62856869074902,Cherbourg-Octeville
323,26646,50.6886109,2.8839607,Armentieres
324,26588,43.6745265,4.1348062,Lunel
325,26540,48.7945413,2.3340758,Cachan
326,26522,49.4068986,1.0507926,Le Grand-Quevilly
327,26461,50.1060835,1.8337029,Abbeville
328,26385,48.9069349,2.2465748,La Garenne-Colombes
329,26369,49.09231865,6.14195388195236,Montigny-les-Metz
330,26068,48.8212037,2.289259,Vanves
331,26037,49.0917814,1.4886571,Vernon
332,25925,48.5848957,2.5864042,Savigny-le-Temple
333,25878,47.0921047,5.4925463,Dole
334,25869,44.4056615,0.7046455,Villeneuve-sur-Lot
335,25785,48.6805587,2.1690093,Les Ulis
336,25779,43.2961743,5.3699525,Marseille 02
337,25697,46.2476592,5.67335934717195,Oyonnax
338,25592,45.7157,4.80271,Oullins
339,25590,46.808203,4.4297028,Le Creusot
340,25371,50.4175,2.96052,Henin-Beaumont
341,25338,47.2711217,-1.623206,Orvault
342,25201,51.020878,2.3894321,Coudekerque-Branche
343,25153,49.0045001,2.1481799,Herblay
344,25082,48.6442,2.41044,Ris-Orangis
345,25014,48.7711323,2.5221284,Sucy-en-Brie
346,24940,48.6591,2.38993,Grigny
347,24803,49.5544444,3.3705556,Fresnes
348,24790,50.719264,2.28033446634121,Bourgoin
349,24772,48.8852958,2.4358326,Romainville
350,24680,48.7911052,2.2870373,Fontenay-aux-Roses
351,24674,45.773606,4.9633314,Decines-Charpieu
352,24628,48.2873153,6.9477708,Saint-Die-des-Vosges
353,24588,44.3129469,5.100076,Fontaine
354,24494,43.6463558,0.5850507,Auch
355,24474,50.4821963,2.5461922,Bruay-la-Buissiere
356,24473,49.1460831,0.2255168,Lisieux
357,24446,49.1094836,7.0708865,Sarreguemines
358,24386,48.8515,2.65265,Torcy
359,24385,44.7739701,-0.613907,Gradignan
360,24352,47.7639726,-3.3444489,Lanester
361,24317,48.6079758,2.3051753,Bretigny-sur-Orge
362,24313,43.4599858,1.3262332,Muret
363,24300,48.9148269,2.2674892,Bois-Colombes
364,24263,43.6434,1.37799,Blagnac
365,24258,49.2031097,-0.3353513,Herouville-Saint-Clair
366,24240,44.9133742,-0.2427217,Libourne
367,24232,44.8661755,-0.5992399,Le Bouscat
368,24173,43.582733,5.0025809,Miramas
369,24162,47.0239064,4.8380426,Beaune
370,24096,48.9906696,2.2794326,Eaubonne
371,24096,48.6979312,2.5044613,Brunoy
372,23931,48.94279,2.6116541,Villeparisis
373,23829,48.8992679,2.5660399,Montfermeil
374,23724,48.8247407,2.2127083,Sevres
375,23719,48.3536781,-1.2022211,Fougeres
376,23635,51.0273731,2.3422205,Saint-Pol-sur-Mer
377,23572,48.8701373,2.32456248693933,La Madeleine
378,23541,48.7018823,2.134529,Gif-sur-Yvette
379,23517,45.5872259,5.2828123,Bourgoin-Jallieu
380,23504,44.8074559,-0.5488542,Begles
381,23331,44.4495,1.4364999,Cahors
382,23307,44.1006693,3.0777594,Millau
383,23307,50.7226113,2.5360331,Hazebrouck
384,23213,51.0134813,2.3029972,Grande-Synthe
385,23134,43.1378245,5.9834654,La Valette-du-Var
386,23095,46.566142,3.333179,Moulins
387,23078,49.4679,1.0813,Mont-Saint-Aignan
388,23012,48.4330421,2.1611377,Etampes
389,23006,50.6428547,3.1093516,Mons-en-Baroeul
390,23001,43.3126647,3.4718381,Agde
391,22977,49.044765,2.1059841,Saint-Ouen-l'Aumone
392,22921,47.1685211,-1.4722242,Vertou
393,22843,48.7038873,2.4605107,Montgeron
394,22772,48.9461437,2.1450951,Maisons-Laffitte
395,22718,45.0459739,3.8855537,Le Puy-en-Velay
396,22691,49.4238,1.06208,Le Petit-Quevilly
397,22636,44.8791708,-0.5216683,Lormont
398,22604,47.8650984,1.9015752,Olivet
399,22555,48.9602658,2.0701647,Acheres
